$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
4A9312,SE-DXR,Swedish Air Force Historic Flight,Saab Draaken J35-J,SB35,Civ,,,,
4A9484,SE-EDD,Swedish Air Force Historic Flight,Sk 50 Saab 91 Safir,SB91,Civ,,,,
4AA248,SE-HRH,Era Alaska,Schweizer 269C,H269,Civ,,,,
4AA295,SE-HTU,Era Alaska,Schweizer 269C,H269,Civ,,,,
4AB241,SE-LRA,SAAB Aircraft,Saab 2000,SB20,Civ,,,,
4AB296,SE-LTV,SAAB Aircraft,Saab 2000,SB20,Civ,,,,
4AC9A4,SE-RMD,Swedish Air Force Historic Flight,J 32 Saab 32 Lansen,SB32,Civ,,,,
4AC9A5,SE-RME,Swedish Air Force Historic Flight,J 32 Saab 32 Lansen,SB32,Civ,,,,
4AE2A9,SE-XUI,Private,SAAB MFI-15,MF17,Civ,,,,
4B0B4F,HB-EHJ,Verein der Freunde des Fieseler Storch,Fieseler Fi 156C-3 Storch,F156,Civ,,,,
4B0B69,HB-EIJ,Private,Morane-Saulnier MS.505 Criquet,F156,Civ,,,,
4B0C0B,HB-EOP,Private,Auster J/1 Autocrat,J1,Civ,,,,
4B0C72,HB-ESO,Verein Historic & Classic Airplanes,Ryan Navion A (L-17B),NAVI,Civ,,,,
4B13F7,HB-HOP,JU-AIR,Junkers Ju-52,JU52,Civ,,,,
4B13FA,HB-HOS,JU-AIR,Junkers Ju-52,JU52,Civ,,,,
4B13FB,HB-HOT,JU-AIR,Junkers Ju-52,JU52,Civ,,,,
4B1B4C,HB-KIU,Private,FWP P.149 D,P149,Civ,,,,
4B208C,HB-MIM,Ariel Ludi,Bucker Bu 133C Jungmeister,BU33,Civ,,,,
4B2196,HB-MSS,Private,Sukhoi Su-26 M2,SU26,Civ,,,,
4B2917,HB-POP,Bundesamt für Zivilluftfahrt,PA-46 350P Malibu,PA46,Civ,,,,
4B2CF0,HB-RAM,Private,Pilatus P-2 06,PP2,Civ,,,,
4B2CF2,HB-RAO,Private,Morane-Saulnier MS.317,MS31,Civ,,,,
4B2D1B,HB-RCD,Private,Pilatus P-3-05,PP3,Civ,,,,
4B2D1C,HB-RCE,Private,Pilatus P-3-05,PP3,Civ,,,,
4B2D1D,HB-RCF,Association Morane Charlie Fox,D-3801 (Morane MS-412),ZZZZ,Civ,,,,
4B2D23,HB-RCL,Private,Pilatus P-3-05,PP3,Civ,,,,
4B2D33,HB-RDB,Private,EKW C-3603,C365,Civ,,,,
4B2D37,HB-RDF,Espace Passion,Dassault Mirage IIID-S,MIRA,Civ,,,,
4B2D38,HB-RDG,Private,General Motors TBM-3R Avenger,TBM,Civ,,,,
4B2D39,HB-RDH,Private,EKW C-3603,C365,Civ,,,,
4B2DC0,HB-RIM,Private,Junkers F 13,F13,Civ,,,,
4B2F0B,HB-RVF,A-Jet AG,F+W Emmen DH-115 Vampire MK55,VAMP,Civ,,,,
4B2F0F,HB-RVJ,Verein De Havilland Flying Group,F+W Emmen DH-115 Vampire MK55,VAMP,Civ,,,,
4B2F13,HB-RVN,Eric Chardonnens,F+W Emmen DH-100 Vampire FB6,VAMP,Civ,,,,
4B2F54,HB-RYA,Private,Yakovlev Yak-9UM,YAK9,Civ,,,,
4B3AB5,HB-WGB,AlpineGyro Ltd,DTA J-RO,GYRO,Civ,,,,
4B3E7A,HB-XRE,Air Glaciers,Aerospatiale Lama SA.315B,LAMA,Civ,,,,
4B3F1E,HB-XXM,Alouette Swiss,Aerospatiale Alouette III SE.316B,ALO3,Civ,,,,
4B4074,HB-YKQ,Private,Slepcev Storch,STOR,Civ,,,,
4B4146,HB-YSS,Fly Vision GmbH,ArrowCopter,GYRO,Civ,,,,
4B42AA,HB-ZGK,Rotex Helicopter AG,Kaman K-1200 K-Max,KMAX,Civ,,,,
4B4432,HB-ZVM,Rotex Helicopter AG,Kaman K-1200 K-Max,KMAX,Civ,,,,
4B820A,93-005,Turkish Air Force,Cessna Citation VII,C650,Mil,,,,
4B82DF,TCB-752,Turkish Navy,ATR 72-600MPA,AT72,Mil,Maritime Patrol,,,
4BCA61,TC-RSA,Redstar Aviation,BAe Jetstream 32-17,JS32,Civ,,,,
4BD130,TC-TIP,Redstar Aviation,Mil Mi-2,MI2,Civ,,,,
4CA7BB,EI-EES,Private,ELA Aviacion ELA 07 Gyrocopter R,ELA7,Civ,,,,
4D0213,LX-DIO,Global Jet Luxembourg,Boeing 737NG-BBJ3,B739,Civ,,,,
4D2295,9H-ATB,Comlux Aviation,Airbus ACJ320-251N,A20N,Civ,,,,
500259,T7-AFS,Franklin Biotech Group,Honda HA-420 Elite,HDJT,Civ,,,,
503C0C,LY-CCP,Private,Yakovlev Yak-18T,Y18T,Civ,,,,
503D0E,LY-AUS,Private,Yakovlev Yak-54B,YK54,Civ,,,,
505C07,OM-BYB,Government of Slovakia,Fokker F100,F100,Gov,,,,
505C08,OM-BYC,Government of Slovakia,Fokker F100,F100,Gov,,,,
51300B,E7-SMS,Gov of Republic of Srpska,Cessna Citation I,C525,Gov,,,,
600BC0,4K-AI08,Gov of Azerbaijan,Airbus ACJ340-642X,A346,Gov,,,,
683063,UP-42721,Gov of Kazakhstan,Yakovlev Yak-42D,YK42,Gov,,,,
683243,UN-95100,Government of Kazakhstan,Sukhoi Superjet 100-95 SBJ,SU95,Gov,,,,
702C1E,S3-ACA,Bangladesh Air Force,Antonov An-32,AN32,Mil,,,,
702C1F,S3-ACB,Bangladesh Air Force,Antonov An-32,AN32,Mil,,,,
702C20,S3-ACD,Bangladesh Air Force,Antonov An-32,AN32,Mil,,,,
704280,9,Myanmar Air Force,ATR 72-500,AT75,Mil,,,,
704282,8,Myanmar Air Force,ATR 72-500,AT75,Mil,,,,
706021,9K-AHI,Gov of Kuwait,Airbus A300-C4-620,A306,Gov,,,,
70604C,9K-GCC,Gov of Kuwait,Boeing 737NG-BBJ3,B739,Gov,,,,
708021,RDPL-34024,Government of Laos,Xian MA60 600,S55T,Gov,,,,
70C0B2,A4O-CX,Royal Oman Police Air Wing,Embraer EMB-175LR,E75L,Pol,,,,
71002E,HZ-SKY,Sky Prime Aviation,Airbus A340-642X,A346,Civ,,,,
710038,HZ-AKF,Saudi Arabian Airlines,Boeing 777,B772,Gov,,,,
71022B,HZ-MF6,Saudi Ministry of Finance,Boeing 737NG,B739,Gov,,,,
710321,HZ-HM1A,Gov of Saudi Arabia,Boeing 747,B743,Gov,,,,
71CC08,HL9408,Incheon Fire & Safety Dept,Bell 230,B230,Gov,,,,
71CE33,HL9633,Jeju Fire Safety Division,KAI KUH-1 Surion EM,SURN,Gov,,,,
71D910,965,Korean National Police Agency,KAI KUH-1P Chamsuri,SURN,Pol,,,,
71D91D,969,Korean National Police Agency,KAI KUH-1P Chamsuri,SURN,Pol,,,,
728618,YI-APX,Government of Iraq,Airbus A300-B4-203,A30B,Gov,,,,
738A4E,514,French Air Force,S.A.N. Jodel D.140R Abeille,D140,Mil,,,,
763B2C,79,Pakistan Navy,ATR 72-500 MPA,AT75,Mil,Maritime Patrol,,,
763B2D,78,Pakistan Navy,ATR 72-500 MPA,AT75,Mil,Maritime Patrol,,,
76E305,720,South African Air Force,Cessna 185A Skywagon,C185,Mil,,,,
77CE26,YK-SQF,Gov of Syria,Yakovlev Yak-40K,YK40,Gov,,,,
77CE27,YK-SQG,Gov of Syria,Yakovlev Yak-40K,YK40,Gov,,,,
7AA30B,B-4074,Chinese Air Force,Xian Y-7G,AN24,Mil,,,,
7C2AA9,VH-IPN,Royal Australian Air Force Museum,CAC CA-27 Sabre Mk32,F86,Mil,,,,
7C4270,VH-NEQ,AirMed Australia,Cessna Citation Mustang,C510,Civ,,,,
7C446E,VH-NSW,State of NSW Spatial Services,Cessna 421 Golden Eagle,C421,Gov,,,,
7C4991,VH-OTF,Royal Australian Air Force Museum,The Vintage Aviator R.E.8 Reproduction,ZZZZ,Mil,,,,
7C4F1F,VH-PWX,AirMed Australia,Cessna Citation Mustang,C510,Civ,,,,
7C66F8,VH-UMI,Royal Australian Air Force,de Havilland Moth DH.60M,DH60,Mil,,,,
7C7181,VH-WPF,Western Australia Police Force,Gippsland GA-8 TC-320 Airvan,GA8,Pol,,,,
7CF8C6,A44-202,Royal Australian Air Force,Boeing F/A-18F Super Hornet,F18S,Mil,,,,
80169F,VT-AKV,Reliance Commercial Dealers Ltd,Boeing 737MAX 9 BBJ,B39M,Civ,,,,
87C31D,9906,Japan Maritime Self-Defense Force,ShinMaywa US-2,US2,Mil,,,,
87C83D,9906,Japan Maritime Self-Defense Force,ShinMaywa US-2,US2,Mil,,,,
894011,A9C-BDF,Bahrain Defence Force,Avro 146-RJ85,RJ85,Gov,,,,
894016,A9C-HWR,Bahrain Defence Force,Avro 146-RJ85,RJ85,Gov,,,,
894042,A9C-AWL,Bahrain Defence Force,Avro 146-RJ100,RJ1H,Gov,,,,
89404D,A9C-HMH,Bahrain Amiri Flight,Boeing 767-ER,B764,Gov,,,,
8961DB,A6-RJ1,Dubai Air Wing,Avro 146-RJ85,RJ85,Gov,,,,
8961DC,A6-RJ2,Dubai Air Wing,Avro 146-RJ85,RJ85,Gov,,,,
8964C9,A6-PFE,Abu Dhabi Amiri Flight,Boeing 787-BBJ,B789,Gov,,,,
896571,A6-PFG,Abu Dhabi Amiri Flight,Boeing 787-BBJ,B789,Gov,,,,
896572,A6-PFH,Abu Dhabi Amiri Flight,Boeing 787-BBJ,B789,Gov,,,,
8A06EB,T-2602,Indonesian Navy,Beechcraft G58 Baron,BE58,Mil,,,,
A001E0,N1VC,Commemorative Air Force,Mikoyan-Gurevich MiG-17,MG17,Civ,,,,
A005F0,N100NR,Private,Jonker JS-1C Revelation,GLID,Civ,,,,
A00E0E,N102VS,Calspan Corporation,Learjet 25B,LJ25,Civ,,,,
A02A6D,N11FX,The Flying Bulls,Bell Cobra TAH-1F,HUCO,Civ,,,,
A02B6E,N11SD,Harris County Sheriff's Office,Cirrus SR-22,SR22,Pol,,,,
A046CB,N117GA,Berlin Airlift Historical Foundation,Boeing C-97G Stratofreighter,C97,Civ,,,,
A04A91,N118GR,Private,Thorp T-18,T18,Civ,,,,
A05291,N12NM,Private,Zivko Edge 540K,EDGE,Civ,,,,
A0587F,N121MC,Private,Stinson Sentinel L-5,L5,Civ,,,,
A05C54,N122NH,Private,Jonker JS-3 Rapture,GLID,Civ,,,,
A05E57,N1226N,Commemorative Air Force,Curtiss P-40N Kittyhawk,P40,Civ,,,,
A062C7,N124CG,Private,Schleicher ASW 24,AS24,Civ,,,,
A062E6,N124DN,Aviation Specialty Services,Cessna 337 Super Skymaster,C337,Civ,,,,
A06F0A,N127PT,Express Air Medical Transport,IAI 1124 Westwind,WW24,Civ,,,,
A07029,T-550,Uruguayan Air Force,Embraer EMB 120RT,E120,Gov,,,,
A07300,N128SF,Win Aviation,Beech Model 99,BE99,Civ,,,,
A07C86,N130PR,Puerto Rico Police Dept,Raytheon Baron G58,BE58,Pol,,,,
A08BBA,N134TD,Private,Beechcraft T-34B,T34P,Civ,,,,
A0A36D,N140HP,California Highway Patrol,Gippsland GA-8 TC-320 Airvan,GA8,Civ,,,,
A0A557,N1402J,Peruvian Coast Guard,Lake Renegade LA-250,LA25,Gov,Maritime Patrol,,,
A0B961,N146EC,BULLDOG146LLC,Scottish Aviation Series 100 Model 101 Bulldog,BDOG,Civ,,,,
A0C7D4,N14999,Private,Lockheed Electra Junior L12A,L12,Civ,,,,
A0CA9D,N150EK,Private,WACO YMF-5C,WACF,Civ,,,,
A0E924,N158NS,Norfolk Southern Railway,Embraer Praetor 500,E545,Civ,,,,
A0ECDB,N159NS,Norfolk Southern Railway,Embraer Praetor 500,E545,Civ,,,,
A0F0E5,N16S,Private,Beech Staggerwing D17S,BE17,Civ,,,,
A0FA0C,N162KQ,Metrea,Quest Aircraft Company Kodiak 100,KODI,Civ,,,,
A0FEBA,N977V,TBC,Beech 95-C55 Baron,BE95,Civ,,,,
A10FE4,N168FA,Black Op Holding,SIAI Marchetti S.211,S211,Civ,,,,
A11999,N170EH,Honeywell International,Embraer EMB-170 LR,E170,Civ,,,,
A11FB3,N1713P,Red Star Aero Services LLC,WSK Lim-5,MG17,Civ,,,,
A123D1,N1726M,Private,WSK Lim-5,MG17,Civ,,,,
A12AB7,N1742R,Private,North American T-28D Trojan,T28,Civ,,,,
A1320E,N17613,Private,Spartan Aircraft Executive 7W,SP7,Civ,,,,
A13210,N17615,Private,Spartan Aircraft Executive 7W,SP7,Civ,,,,
A1402E,N18V,Private,Beech Staggerwing UC-43BH,BE17,Civ,,,,
A1436B,N18028,Private,Beech Staggerwing D17S,BE17,Civ,,,,
A148AD,N182FX,Private,Fleet M-62A-3 Cornell II,FA62,Civ,,,,
A1523E,N1842Z,Vermont Skydiving Adventures,Cessna 210 Centurion,C210,Civ,,,,
A169D7,N190TC,General Atomics,MQ-9B SkyGuardian,Q9,Mil,,,,
A16EE5,N19146,Private,Fairchild F-24 G,FA24,Civ,,,,
A179D9,N1943S,Private,Stinson Reliant AT-19,RELI,Civ,,,,
A179F0,N1944E,Choice Aviation LLC,Cessna 340 Super,C340,Civ,,,,
A19B53,N202VG,Virgin Galactic,Spaceship Two,SS2,Civ,,,,
A1A93D,N206KQ,Metrea,Quest Aircraft Company Kodiak 100,KODI,Civ,,,,
A1B998,N210AX,Keystone Aerial Surveys,Cessna T210N Turbo Centurion,T210,Civ,,,,
A1BD38,N211,Experimental Aircraft Association,Spirit of St. Louis,ZZZZ,Civ,,,,
A1BECD,N211SD,S211,SIAI-Marchetti S 211,S211,Civ,,,,
A1D023,N216DM,Private,Fouga Magister CM170,FOUG,Civ,,,,
A1D51B,NX217SH,Fighterjets,Mikoyan-Gurevich MiG-17F,MG17,Civ,,,,
A1ED71,N223PF,Scout Aerospace,Pipistrel Alpha Trainer,PIAT,Civ,,,,
A1F7AA,N226DV,Private,Stolp SA.300 Starduster Too,SA30,Civ,,,,
A1FEF3,N228CH,Medical Air,SOCATA TBM 700B,TBM8,Civ,,,,
A22145,N2361,Private,Stolp SA.300 Starduster Too,SA30,Civ,,,,
A22ADF,N239KQ,Idaho Transportation Department,Quest Kodiak 100,K100,Gov,,,,
A22E8A,N24KC,Private,Zivko Edge 540A,EDGE,Civ,,,,
A230BE,N240HR,NASA,Vanilla Aircraft LLCVA001,ZZZZ,Gov,,,,
A25188,N249BA,Boeing,Boeing 747 Dreamlifter,BLCF,Civ,,,,
A2574B,N25Y,The Flying Bulls,Lockheed P-38 Lightning,P38,Civ,,,,
A25952,N250UT,Beta Air,Beta Air Alia-250,ZZZZ,Civ,,,,
A26A5E,N255DB,Private,Stinson Sentinel L-5,L5,Civ,,,,
A26B9C,N255RV,REVA Air Ambulance,Learjet 55,LJ55,Civ,,,,
A277B3,N2581B,Private,Stinson Sentinel OY-1,L5,Civ,,,,
A28582,N2613N,Private,Cessna C120,C120,Civ,,,,
A28784,N262MF,TSI Holdco,Legend Flyers ME 262-B1-A,ME62,Civ,,,,
A28934,N2623H,Walmart,Ercoupe 415-E,ERCO,Civ,,,,
A28A92,N263EM,Draken Intl,Aero L-159A ALCA,L159,Civ,,,,
A2AAA3,N271EM,Draken Intl,Aero L-159A ALCA,L159,Civ,,,,
A2B1D5,N273CB,Private,Beechcraft T-34,T34P,Civ,,,,
A2B211,N273EM,Draken Intl,Aero L-159A ALCA,L159,Civ,,,,
A2B5C8,N274EM,Draken Intl,Aero L-159E,L159,Civ,,,,
A2EA1E,N287XW,Private,BAC Jet Provost T.5,JPRO,Civ,,,,
A2F4E5,N29UB,Jared Isaacman,MIG-29UB,MG29,Civ,,,,
A3026F,N293UP,United Parcel Service,MD-11,MD11,Civ,,,,
A30FE0,N297EA,Erickson Aero Tanker,McDonnell Douglas DC-9 87,MD87,Civ,,,,
A31478,N298PA,Private,Schleicher ASG 32 Mi,A32P,Civ,,,,
A32022,N300JH,Fly Jive Fly,North American T-28B Trojan,T28,Civ,,,,
A3301A,N304VS,Calspan Corporation,Learjet 25G,LJ25,Civ,,,,
A345EA,N31QV,Moonrise Soaring,Schleicher ASH 31 MI,AS31,Civ,,,,
A34877,N310SX,Falcon Landing LLC,Not Yet Allocated,ZZZZ,Civ,,,,
A3494D,N3101A,Private,Cessna 170B,C170,Civ,,,,
A34E02,N3118K,North Carolina Wildlife Resources,Maule M-7,M7,Gov,,,,
A35221,N313BT,Early Birds Foundation,Vultee BT-13A Valiant,VALI,Civ,,,,
A35FC5,N3162M,Private,Piper PA-12,PA12,Civ,,,,
A364CC,N318CS,Textron Aviation,Cessna TTx,C240,Civ,,,,
A36B08,N3193G,Yankee Air Force,Boeing B-17G Flying Fortress,B17,Civ,,,,
A36C3A,N32CS,Private,CAC Boomerang CA-13,CA19,Civ,,,,
A37B7E,N323WW,Win Aviation,Short SD3-30,SH33,Civ,,,,
A380E6,N325AC,Aero Flite,Avro 146 RJ85,RJ85,Civ,,,,
A3AB62,N33543,Private,Stinson Reliant V-77,RELI,Civ,,,,
A3BBDF,N34KJ,Wright Wing Aviation,Beechcraft T-34,T34P,Civ,,,,
A3BC70,N34RD,Private,Rutan VariEze,VEZE,Civ,,,,
A3BD25,N34YK,Private,Beechcraft T-34B,T34P,Civ,,,,
A3CC9A,N344EM,Draken Intl,Aermacchi MB.339 CB,M339,Civ,,,,
A3CF1D,N3444Q,Keystone Aerial Surveys,Cessna 320E Skyknight,C320,Civ,,,,
A3DB76,N348EM,Draken Intl,Aermacchi MB.339 CB,M339,Civ,,,,
A3DC2A,N348MS,Virgin Galactic,White Knight Two,WHK2,Civ,,,,
A3EA1F,N351SL,Stratolauncher,Stratolauncher Roc,SLCH,Civ,,,,
A42299,N366AC,Aero Flite,Avro 146-RJ100,RJ1H,Civ,,,,
A42DCC,N369AS,Cape Aerial Tours,WACO YMF,WACF,Civ,,,,
A44360,N374HK,General Atomics,MQ-9B SkyGuardian,Q9,Mil,,,,
A4533A,N378TP,ETPC Aviation,Embraer Lineage 1000E,E190,Civ,,,,
A491E3,N394CM,Aero Air,Cessna Citation Mustang,C510,Civ,,,,
A495B7,N395DR,Express Air Medical Transport,Piper PA-42 Cheyenne III,PAY3,Civ,,,,
A4ACDF,N400CM,Aerial Surveys International,Piper PA-31T Cheyenne,PAY1,Civ,,,,
A4B06E,N401AX,Airborne Tactical Advantage,IAI F-21 Kfir C-2,KFIR,Civ,,,,
A4B425,N402AX,Airborne Tactical Advantage,IAI F-21 Kfir C2,KFIR,Civ,,,,
A4B7DC,N403AX,Airborne Tactical Advantage,IAI F-21 Kfir C2,KFIR,Civ,,,,
A4BDF0,N40402,Commemorative Air Force,Grumman TBM-3 Avenger,TBM,Civ,,,,
A4BF4A,N405AX,Airborne Tactical Advantage,IAI F-21 Kfir C-2,KFIR,Civ,,,,
A4C07A,N405PA,Phoenix Air,Embraer EMB 120ER,E120,Civ,,,,
A4C301,N406AX,Airborne Tactical Advantage,IAI F-21 Kfir,KFIR,Civ,,,,
A4C32B,N406CP,Calcasieu Parish Police Jury,Beech JU-21A Ute,U21,Pol,,,,
A4C6B8,N407AX,Airborne Tactical Advantage,IAI F-21 Kfir,KFIR,Civ,,,,
A4C929,N4071M,High Exposure,Piper PA-12,PA12,Civ,,,,
A4D566,N410PA,Phoenix Air,Embraer EMB 120RT,E120,Civ,,,,
A4E02D,N413KG,Eagle Mountain Intl Church,Beech E55 Baron,BE55,Civ,,,,
A4F2EB,N418M,Private,Stinson Junior SM-8A,ZZZZ,Civ,,,,
A4F465,N4181T,Keystone Aerial Surveys,Cessna 320D,C320,Civ,,,,
A4FB3C,N42WB,Mesa Police Dept,Cessna P210N Javelin,P210,Pol,,,,
A507F1,N423NA,NASA,Short C-23C,SH33,Gov,,,,
A50DDC,N4247V,Midwest Truxton International Inc,Sikorsky S-58T,S58T,Civ,,,,
A50E5C,N425BS,Spur Aviation Services,Cessna 425 Conquest I,C425,Civ,,,,
A5244B,N430NA,NASA,Short C-23,SH33,Gov,,,,
A549E7,N44SU,Private,Sukhoi Su-26 M,SU26,Civ,,,,
A54B09,N440EH,Surdex Corporation,Cessna 441 Conquest II,C441,Civ,,,,
A54F6B,N441MD,Keystone Aerial Surveys,Cessna 441 Conquest II,C441,Civ,,,,
A556DC,N443MG,Georgia Aviation Authority,Piper PA-44,PA44,Gov,,,,
A55C60,N4444C,Private,Cessna 190,C190,Civ,,,,
A56214,N446NA,NASA,Short C-23,SH33,Gov,,,,
A5679C,N44741,Commemorative Air Force,Naval Aircraft Factory N3N-3,N3N,Civ,,,,
A5782B,N4510,Private,Grob G-520 Egrett,EGRT,Civ,,,,
A59AE1,N460PA,Phoenix Air,Embraer EMB 120RT,E120,Civ,,,,
A5AD74,N465PA,Phoenix Air,Embraer EMB 120RT,E120,Civ,,,,
